Feature,K-S Distance (D),Raw p-value,Feature Drifted
hour,0.011480279447816322,7.027617151524504e-12,false
trip_count_lag_1h,0.04198517897951254,1.2020026700169665e-153,false
trip_count_lag_2h,0.04184194622171333,1.3302018650104593e-152,false
loc_hour_avg,0.05706101683337317,1.5860802373596925e-283,true
