Train Months,Test Month,MSE,RMSE,MAE,R^2
Jan-Apr,May,251.9905242919922,15.874209406833216,6.5913896560668945,0.9573361277580261
Feb-May,Jun,198.2974395751953,14.081812368271185,6.114534378051758,0.9632726907730103
Mar-Jun,Jul,188.0178985595703,13.711961878577782,5.935538291931152,0.9564219117164612
Apr-Jul,Aug,163.79409790039062,12.798206823629263,5.555206775665283,0.9540215730667114
May-Aug,Sep,272.12152099609375,16.496106237415354,6.869320392608643,0.9521084427833557
Jun-Sep,Oct,244.17750549316406,15.62618013121454,6.525327682495117,0.9602681994438171
Jul-Oct,Nov,248.3444061279297,15.758946859734305,6.528120517730713,0.9562171697616577
